"1st decision-2nd decision-3rd decision-4th decision-5th decision-6th decision-7th decision-8th decision-9th decision-10th decision-11th decision-12th decision-13th decision-14th decision-15th decision-16th decision 
",number of participants
task lamp level 4-blinds 100% open-desk fan on-ceiling lamp on-thermostat off-0-0-0-0-0-0-0-0-0-0-0,1
task lamp level 4-ceiling lamp level 2-blinds 25% open-desk fan on-heater off-thermostat on-desk fan off-thermostat off-task lamp level 4-0-0-0-0-0-0-0-end,1
task lamp level 2-ceiling lamp off-task lamp level 4-desk fan on-0-0-0-0-0-0-0-0-0-0-0-0-end,1
heater on-ceiling lamp on-blinds 100% open-0-0-0-0-0-0-0-0-0-0-0-0-0,1
heater on-blinds 100% open-heater off-0-0-0-0-0-0-0-0-0-0-0-0-0,1
heater on-desk fan on-heater off-blinds 75% open-ceiling lamp level 2-blinds 50% open-0-0-0-0-0-0-0-0-0-0,1
heater on-task lamp on-ceiling lamp on-thermostat on-ceiling lamp level 2-desk fan on-ceiling lamp on-heater off-thermostat off-desk fan off-task lamp level 4-ceiling lamp off-0-0-0-0-end,1
desk fan level 3-desk fan off-task lamp level 4-blinds closed-ceiling lamp level 2-0-0-0-0-0-0-0-0-0-0-0,1
desk fan level 3-ceiling lamp level 3-blinds 100% open-0-0-0-0-0-0-0-0-0-0-0-0-0-end,1
desk fan on-blinds 100% open-ceiling lamp level 2-0-0-0-0-0-0-0-0-0-0-0-0-0,1
desk fan on-ceiling lamp level 3-desk fan off-ceiling lamp on-blinds 100% open-task lamp level 2-ceiling lamp off-desk fan off-task lamp level 2-blinds 100% open-ceiling lamp level 3-desk fan on-blinds 75% open-blinds 100% open-desk fan off-0,1
desk fan on-task lamp level 3-blinds 75% open-thermostat off-0-0-0-0-0-0-0-0-0-0-0-0,1
desk fan on-task lamp level 3-ceiling lamp level 3-0-0-0-0-0-0-0-0-0-0-0-0-0,1
desk fan on-task lamp on-ceiling lamp off-task lamp off-blinds 50% open-ceiling lamp off-desk fan off-0-0-0-0-0-0-0-0-0,1
desk fan on-heater on-blinds closed-task lamp level 4-ceiling lamp level 3-ceiling lamp off-task lamp off-thermostat on-0-0-0-0-0-0-0-0,1
desk fan on-blinds 75% open-0-0-0-0-0-0-0-0-0-0-0-0-0-0,1
desk fan on-ceiling lamp on-task lamp level 2-ceiling lamp level 3-blinds 100% open-0-0-0-0-0-0-0-0-0-0-0,1
desk fan on-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-end,1
desk fan off-blinds 100% open-0-0-0-0-0-0-0-0-0-0-0-0-0-0-end,1
ceiling lamp level 3-ceiling lamp off-task lamp level 4-blinds closed-ceiling lamp on-0-0-0-0-0-0-0-0-0-0-0,1
ceiling lamp level 3-task lamp level 3-blinds 100% open-0-0-0-0-0-0-0-0-0-0-0-0-0,1
ceiling lamp level 3-heater off-desk fan on-blinds 75% open-ceiling lamp off-task lamp level 4-thermostat on-thermostat off-desk fan on-0-0-0-0-0-0-0,1
ceiling lamp level 3-thermostat off-desk fan on-0-0-0-0-0-0-0-0-0-0-0-0-0,1
ceiling lamp level 3-desk fan on-ceiling lamp level 3-0-0-0-0-0-0-0-0-0-0-0-0-0,1
ceiling lamp level 3-task lamp level 3-blinds 75% open-0-0-0-0-0-0-0-0-0-0-0-0-0,1
ceiling lamp level 3-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-end,1
ceiling lamp on-heater on-desk fan off-desk fan on-task lamp level 2-ceiling lamp level 3-0-0-0-0-0-0-0-0-0-0,1
ceiling lamp on-blinds 25% open-desk fan level 2-thermostat on-desk fan off-0-0-0-0-0-0-0-0-0-0-0-end,1
ceiling lamp off-blinds closed-desk fan off-ceiling lamp level 3-heater on-heater off-thermostat off-blinds 50% open-ceiling lamp level 2-desk fan off-0-0-0-0-0-0-end,1
blinds 100% open-ceiling lamp level 3-thermostat off-desk fan level 3-ceiling lamp on-desk fan off-task lamp off-0-0-0-0-0-0-0-0-0,1
blinds 100% open-thermostat on-thermostat off-ceiling lamp level 2-0-0-0-0-0-0-0-0-0-0-0-0,1
blinds 100% open-task lamp level 4-ceiling lamp level 3-desk fan on-blinds closed-blinds 75% open-0-0-0-0-0-0-0-0-0-0,1
blinds 100% open-ceiling lamp on-0-0-0-0-0-0-0-0-0-0-0-0-0-0-end,1
blinds 75% open-heater on-thermostat on-blinds 100% open-thermostat off-ceiling lamp level 2-desk fan off-0-0-0-0-0-0-0-0-0-end,1
blinds 50% open-desk fan off-ceiling lamp level 3-0-0-0-0-0-0-0-0-0-0-0-0-0-end,1
blinds 25% open-ceiling lamp level 2-heater on-task lamp level 2-desk fan level 2-0-0-0-0-0-0-0-0-0-0-0,1
blinds 25% open-thermostat on-ceiling lamp level 3-task lamp off-ceiling lamp off-thermostat off-ceiling lamp level 3-task lamp level 4-0-0-0-0-0-0-0-0,1
blinds 25% open-desk fan off-task lamp off-blinds closed-0-0-0-0-0-0-0-0-0-0-0-0-end,1
blinds closed-ceiling lamp off-task lamp level 4-blinds 100% open-task lamp off-ceiling lamp level 3-task lamp level 4-desk fan off-heater off-thermostat off-0-0-0-0-0-0-end,1
thermostat on-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-end,1
thermostat off-blinds 100% open-0-0-0-0-0-0-0-0-0-0-0-0-0-0-end,1
0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-end,4
